recv_epoch,tick,power_v,power_a,ff_FR,ff_FL,ff_RR,ff_RL,q_FR_hip,dq_FR_hip,tau_FR_hip,cnt_FR_hip,temp_FR_hip,q_FR_thigh,dq_FR_thigh,tau_FR_thigh,cnt_FR_thigh,temp_FR_thigh,q_FR_calf,dq_FR_calf,tau_FR_calf,cnt_FR_calf,temp_FR_calf,q_FL_hip,dq_FL_hip,tau_FL_hip,cnt_FL_hip,temp_FL_hip,q_FL_thigh,dq_FL_thigh,tau_FL_thigh,cnt_FL_thigh,temp_FL_thigh,q_FL_calf,dq_FL_calf,tau_FL_calf,cnt_FL_calf,temp_FL_calf,q_RR_hip,dq_RR_hip,tau_RR_hip,cnt_RR_hip,temp_RR_hip,q_RR_thigh,dq_RR_thigh,tau_RR_thigh,cnt_RR_thigh,temp_RR_thigh,q_RR_calf,dq_RR_calf,tau_RR_calf,cnt_RR_calf,temp_RR_calf,q_RL_hip,dq_RL_hip,tau_RL_hip,cnt_RL_hip,temp_RL_hip,q_RL_thigh,dq_RL_thigh,tau_RL_thigh,cnt_RL_thigh,temp_RL_thigh,q_RL_calf,dq_RL_calf,tau_RL_calf,cnt_RL_calf,temp_RL_calf
1790284301.142532,1032563,29.9955,0.2393,109,108,88,104,-0.0628029779,-0.0465062857,0.024738282,1,30,1.24363351,-0.0155020952,-0.024738282,-1,28,-2.77285099,0.00606603734,-0.0474150404,-1,31,0.0547188818,-0.0387552381,0.024738282,1,30,1.25280762,-0.0310041904,0.0494765639,2,27,-2.79773116,-0.0141540868,0,0,30,-0.374227047,0.0116265714,0,0,47,1.25582993,-0.019377619,0,0,27,-2.76991296,0,0,0,30,0.370639771,-0.0348797143,0,0,49,1.27278543,-0.0426307619,0,0,28,-2.79425597,-0.0101100625,0.0474150404,1,29
1790284301.144648,1032566,29.9955,0.2735,109,108,88,104,-0.0628635362,-0.139518857,0.024738282,1,30,1.24366379,0.0465062857,0,0,28,-2.77286673,-0.0283081736,0,0,31,0.054749161,0.019377619,0.024738282,1,30,1.25280762,-0.0116265714,0,0,27,-2.79773116,-0.0101100625,-0.0474150404,-1,30,-0.374227047,0.0581328608,0,0,47,1.25579965,-0.0658839047,0.024738282,1,27,-2.76991296,0.00404402474,-0.0474150404,-1,30,0.37067005,0.00775104761,0,0,49,1.2728157,0.00775104761,0,0,28,-2.79427171,0.0202201251,0,0,29
1790284301.146691,1032568,29.9955,0.2735,109,108,88,104,-0.0628029779,-0.0387552381,0.024738282,1,30,1.24366379,0.019377619,-0.0742148459,-3,28,-2.77286673,-0.0242641494,-0.0474150404,-1,31,0.0546886027,-0.0852615237,0.0494765639,2,30,1.2528379,0.019377619,0,0,27,-2.79773116,0,0,0,30,-0.374227047,0.0310041904,0,0,47,1.25586021,0.0387552381,0,0,27,-2.76991296,0.0101100625,0,0,30,0.37070033,0.0736349523,-0.024738282,-1,49,1.27278543,-0.0465062857,0,0,28,-2.79427171,0.018198112,0,0,29
1790284301.148563,1032569,29.9955,0.2735,109,108,88,104,-0.0628029779,-0.0426307619,0.024738282,1,30,1.24366379,0.0426307619,0.024738282,1,28,-2.77285099,-0.00202201237,0,0,31,0.0547188818,-0.0310041904,0.0494765639,2,30,1.25280762,-0.0387552381,0.0494765639,2,27,-2.79771543,0.0202201251,-0.0474150404,-1,30,-0.374257326,-0.0155020952,0,0,47,1.25586021,0.0155020952,-0.024738282,-1,27,-2.76992869,0.0101100625,0,0,30,0.37067005,0.0155020952,0,0,49,1.2728157,0.0271286666,0,0,28,-2.79428744,-0.0101100625,0.0474150404,1,29
1790284301.150631,1032572,29.9955,0.3076,109,108,88,104,-0.0628029779,-0.0348797143,0.024738282,1,30,1.24363351,0,0,0,28,-2.77286673,-0.0242641494,0,0,31,0.0547188818,-0.0348797143,0.0742148459,3,30,1.25280762,-0.0387552381,0.0494765639,2,27,-2.79771543,0.0283081736,-0.0948300809,-2,30,-0.374227047,0.0387552381,-0.024738282,-1,47,1.25586021,0.0387552381,0,0,27,-2.76992869,-0.0202201251,0,0,30,0.37067005,0.0116265714,-0.024738282,-1,49,1.2728157,0.00387552381,0,0,28,-2.79427171,0.0141540868,-0.23707521,-5,29
1790284301.152656,1032574,29.9955,0.2735,109,108,88,104,-0.062833257,-0.108514667,0.024738282,1,30,1.24366379,0.0387552381,-0.0494765639,-2,28,-2.77286673,-0.0303301867,0,0,31,0.054749161,0.019377619,0.0494765639,2,30,1.25280762,-0.0387552381,0.0494765639,2,27,-2.79771543,0.0202201251,-0.0474150404,-1,30,-0.374257326,-0.0116265714,0,0,47,1.25586021,0.0348797143,-0.024738282,-1,27,-2.76991296,0.00606603734,0,0,30,0.37067005,0.00775104761,-0.024738282,-1,49,1.27278543,-0.0387552381,0,0,28,-2.79425597,0.0242641494,0.0474150404,1,29
1790284301.154696,1032575,29.9955,0.2735,109,108,88,104,-0.062833257,-0.0930125713,0.0742148459,3,30,1.24366379,0.0387552381,-0.0494765639,-2,28,-2.77286673,-0.0303301867,0,0,31,0.054749161,0.0348797143,0.0742148459,3,30,1.2528379,0.019377619,0.0494765639,2,27,-2.79769969,0.0444842726,0,0,30,-0.374227047,0.0581328608,0,0,47,1.25586021,0.0387552381,0,0,27,-2.76992869,-0.0262861624,-0.0948300809,-2,30,0.37070033,0.0736349523,0,0,49,1.2728157,0.019377619,0,0,28,-2.79427171,0.0101100625,0,0,29
1790284301.156576,1032578,29.9955,0.2735,109,108,88,104,-0.0628029779,-0.0581328608,0.024738282,1,30,1.24366379,0.0426307619,-0.024738282,-1,28,-2.77286673,-0.0283081736,0.0948300809,2,31,0.0547188818,-0.0387552381,0.0494765639,2,30,1.2528379,0.019377619,0.0494765639,2,27,-2.79771543,0.0303301867,0,0,30,-0.374257326,0,0,0,47,1.25586021,0.0387552381,0,0,27,-2.76991296,0.00202201237,0,0,30,0.37067005,0.019377619,-0.024738282,-1,49,1.27278543,-0.0503818095,0,0,28,-2.79427171,0.00808804948,0,0,29
1790284301.158414,1032579,29.9955,0.3076,109,108,88,104,-0.0628029779,-0.0271286666,0.024738282,1,30,1.24366379,0.0387552381,-0.024738282,-1,28,-2.77285099,-0.00404402474,0.0474150404,1,31,0.0547188818,-0.0387552381,0.0494765639,2,30,1.25280762,-0.0387552381,0.0494765639,2,27,-2.79771543,0.0202201251,0,0,30,-0.374257326,0,-0.024738282,-1,47,1.25586021,0.0387552381,-0.024738282,-1,27,-2.76991296,0.00202201237,0,0,30,0.37067005,0.0348797143,0,0,49,1.27278543,-0.0697594285,0,0,28,-2.79428744,-0.0101100625,0,0,29
1790284301.160774,1032581,29.9866,0.2393,109,108,88,104,-0.0628029779,-0.0387552381,0,0,30,1.24366379,0.0348797143,-0.024738282,-1,28,-2.77285099,-0.00404402474,0,0,31,0.0547188818,-0.0271286666,0.0494765639,2,30,1.2528379,0.019377619,0.0494765639,2,27,-2.79773116,-0.00404402474,0,0,30,-0.374227047,0.0542573333,0,0,47,1.25582993,-0.019377619,0,0,27,-2.76991296,-0.0303301867,0,0,30,0.37067005,0.0310041904,0,0,49,1.27284598,-0.00775104761,0,0,28,-2.79427171,0.0323521979,0,0,29
1790284301.162858,1032584,29.9866,0.2393,109,108,88,104,-0.0627726987,0.0310041904,0.024738282,1,30,1.24363351,-0.019377619,-0.0494765639,-2,28,-2.77286673,-0.0323521979,0,0,31,0.0547188818,-0.0542573333,0.024738282,1,30,1.2528379,0.00775104761,0.024738282,1,27,-2.79771543,0.0242641494,0,0,30,-0.374257326,0.00387552381,-0.024738282,-1,47,1.25586021,0.0387552381,0,0,27,-2.76991296,0,0,0,30,0.37070033,0.0968880951,-0.024738282,-1,49,1.2728157,-0.0232531428,0,0,28,-2.79427171,0.0283081736,0,0,29
1790284301.164875,1032586,29.9955,0.2393,109,108,88,104,-0.0628029779,-0.0232531428,0.024738282,1,30,1.24366379,0.0387552381,-0.0742148459,-3,28,-2.77281952,0.0566163473,-0.0474150404,-1,31,0.0547188818,-0.0387552381,0.024738282,1,30,1.25280762,-0.0387552381,0.0494765639,2,27,-2.79774714,-0.0363962241,0,0,30,-0.374257326,-0.0310041904,0,0,47,1.25586021,0.0387552381,0,0,27,-2.76991296,0,0,0,30,0.370639771,-0.0387552381,-0.024738282,-1,49,1.27278543,-0.0852615237,0,0,28,-2.79427171,0.00808804948,0.0474150404,1,29
1790284301.166839,1032587,29.9955,0.2735,109,108,88,104,-0.0627726987,0.019377619,0.024738282,1,30,1.24363351,-0.0155020952,-0.0494765639,-2,28,-2.77285099,-0.00202201237,-0.0948300809,-2,31,0.054749161,0.0232531428,0.0742148459,3,30,1.25280762,0,0.0742148459,3,27,-2.79773116,0,0,0,30,-0.374196768,0.0852615237,-0.024738282,-1,47,1.25586021,0.0465062857,0,0,27,-2.76992869,-0.0262861624,0,0,30,0.370639771,-0.0387552381,-0.024738282,-1,49,1.2728157,-0.0155020952,0,0,28,-2.79427171,-0.00202201237,0,0,29
1790284301.168652,1032590,29.9955,0.2393,109,108,88,104,-0.0627726987,0.0232531428,0.024738282,1,30,1.24363351,-0.0232531428,-0.0742148459,-3,28,-2.77285099,0.00404402474,0,0,31,0.0547188818,-0.0310041904,0.0494765639,2,30,1.25280762,0,0.0742148459,3,27,-2.79771543,0,0,0,30,-0.374257326,-0.0232531428,-0.024738282,-1,46,1.25582993,0.0310041904,0,0,27,-2.76992869,-0.0303301867,-0.0474150404,-1,30,0.37067005,0.0348797143,0.024738282,1,49,1.27278543,-0.0813859999,0,0,28,-2.79425597,0.0404402502,0,0,29
1790284301.170668,1032592,29.9955,0.2735,109,108,88,104,-0.0627726987,0.00775104761,0.0494765639,2,30,1.24369407,0.10463915,-0.024738282,-1,28,-2.77285099,0,-0.0474150404,-1,31,0.0547188818,-0.0387552381,0.0494765639,2,30,1.25277734,-0.0387552381,0.0494765639,2,27,-2.79771543,0.0283081736,0,0,30,-0.374227047,-0.0503818095,0,0,46,1.25586021,0.0348797143,-0.024738282,-1,27,-2.76991296,0.0283081736,0,0,30,0.37067005,0.0310041904,0,0,49,1.2728157,-0.0155020952,0,0,28,-2.79425597,0.0485282987,0.0474150404,1,29
1790284301.172691,1032593,29.9955,0.2735,109,108,88,104,-0.0627726987,0.019377619,0.0494765639,2,30,1.24366379,0.0387552381,-0.024738282,-1,28,-2.77283525,0.0262861624,0.0474150404,1,31,0.054749161,0.019377619,0.0494765639,2,30,1.2528379,0.00775104761,0.0494765639,2,27,-2.79771543,0.0262861624,0,0,30,-0.374227047,0,0,0,46,1.25586021,0.0426307619,0,0,27,-2.76992869,0,-0.0948300809,-2,30,0.37067005,0.0155020952,0,0,49,1.2728157,-0.0155020952,0,0,28,-2.79428744,-0.0222421363,0,0,29
1790284301.174626,1032596,29.9955,0.2735,109,108,88,104,-0.0627726987,0.00387552381,0.024738282,1,30,1.24366379,0.0426307619,-0.0494765639,-2,28,-2.77286673,-0.0323521979,-0.0474150404,-1,31,0.0547188818,-0.0310041904,0.0742148459,3,30,1.25277734,0,0.0494765639,2,27,-2.79773116,-0.00202201237,0,0,30,-0.374196768,0.0503818095,-0.024738282,-1,46,1.25586021,0.0348797143,-0.024738282,-1,27,-2.76992869,-0.0222421363,0,0,30,0.37070033,0.0736349523,-0.0494765639,-2,49,1.2728157,-0.0271286666,0,0,28,-2.79427171,0.0262861624,0.0474150404,1,29
1790284301.176558,1032597,29.9866,0.2735,109,108,88,104,-0.0628029779,-0.0465062857,0.024738282,1,30,1.24366379,0.0348797143,-0.0494765639,-2,28,-2.77286673,-0.0323521979,-0.0474150404,-1,31,0.0547188818,-0.0387552381,0.024738282,1,30,1.25277734,-0.0310041904,0.0494765639,2,27,-2.79774714,-0.034374211,0,0,30,-0.374196768,0.0775104761,0,0,47,1.25586021,0.0465062857,0,0,27,-2.76991296,0.00404402474,0,0,30,0.37070033,0.0271286666,0.024738282,1,49,1.27284598,0.0387552381,0.024738282,1,28,-2.79427171,0.0141540868,0.0474150404,1,29
1790284301.178672,1032599,29.9955,0.2735,109,108,88,104,-0.0627726987,0.0232531428,0.024738282,1,30,1.24366379,0.0116265714,-0.024738282,-1,28,-2.77286673,-0.0242641494,0,0,31,0.0547188818,-0.0387552381,0.0494765639,2,30,1.25280762,0,0.0494765639,2,27,-2.79771543,0.0202201251,0,0,30,-0.374196768,0.0658839047,0.024738282,1,47,1.25582993,-0.0232531428,0,0,27,-2.76992869,-0.0202201251,0,0,30,0.370639771,-0.0503818095,0,0,49,1.27278543,-0.0891370475,-0.024738282,-1,28,-2.79427171,0.0141540868,0.0474150404,1,29
1790284301.180712,1032602,29.9955,0.2735,109,108,88,104,-0.0628029779,-0.0387552381,0.024738282,1,30,1.24366379,0.0426307619,-0.024738282,-1,28,-2.77285099,0.00404402474,0.0474150404,1,31,0.054749161,0.0310041904,0.024738282,1,30,1.25280762,-0.0930125713,0.0494765639,2,27,-2.79773116,-0.00808804948,0,0,30,-0.374227047,0.019377619,-0.024738282,-1,47,1.25586021,0.0387552381,-0.024738282,-1,27,-2.76992869,-0.0242641494,0,0,30,0.37067005,0.0232531428,0,0,49,1.2728157,-0.00387552381,0,0,28,-2.79428744,-0.018198112,0.0474150404,1,29
1790284301.182719,1032604,29.9955,0.2393,109,108,88,104,-0.0628029779,-0.0542573333,0.024738282,1,30,1.24366379,0.0155020952,-0.0494765639,-2,28,-2.77286673,-0.0242641494,0,0,31,0.054749161,0.0348797143,0.024738282,1,30,1.25280762,-0.0930125713,0.0494765639,2,27,-2.79773116,-0.0101100625,0,0,30,-0.374227047,0.0116265714,0,0,47,1.25589049,0.0891370475,-0.024738282,-1,27,-2.76991296,0.0101100625,-0.0948300809,-2,30,0.37067005,0.00387552381,0,0,49,1.27278543,-0.0387552381,0.024738282,1,28,-2.79428744,-0.018198112,0,0,29
1790284301.184701,1032605,29.9866,0.2735,109,108,88,104,-0.0628029779,-0.0620083809,0.024738282,1,30,1.24366379,0.0155020952,-0.0494765639,-2,28,-2.77285099,-0.00404402474,0,0,31,0.0546886027,-0.0852615237,0,0,30,1.25277734,-0.0620083809,0,0,27,-2.79773116,0.00202201237,0,0,30,-0.374227047,0.0271286666,0,0,47,1.25582993,-0.0155020952,0,0,27,-2.76994443,-0.0525723249,-0.0948300809,-2,30,0.37067005,0.0232531428,0,0,49,1.27278543,-0.0387552381,0.024738282,1,28,-2.79427171,0.0202201251,0.0474150404,1,29
1790284301.186646,1032608,29.9955,0.2735,109,108,88,104,-0.0627726987,0.0348797143,0.0742148459,3,30,1.24369407,0.0697594285,-0.0742148459,-3,28,-2.77285099,-0.0222421363,0.0474150404,1,31,0.054749161,0.0155020952,0.0494765639,2,30,1.25280762,0.00387552381,0,0,27,-2.79773116,0.0262861624,0,0,30,-0.374227047,0.0348797143,0,0,47,1.25586021,0.0387552381,-0.024738282,-1,27,-2.76991296,0.0101100625,0,0,30,0.370639771,-0.0387552381,0,0,49,1.2728157,0.019377619,0,0,28,-2.79425597,0.0465062857,0.0948300809,2,29
1790284301.188622,1032609,29.9866,0.2735,109,108,88,104,-0.0627726987,0.019377619,0.0742148459,3,30,1.24363351,-0.019377619,-0.024738282,-1,28,-2.77285099,-0.00404402474,0,0,31,0.0547188818,-0.019377619,0.0494765639,2,30,1.25277734,-0.0542573333,0.0494765639,2,27,-2.79771543,-0.0101100625,-0.0474150404,-1,30,-0.374227047,0.0581328608,-0.024738282,-1,47,1.25582993,-0.019377619,0,0,27,-2.76991296,0.00808804948,0,0,30,0.37067005,0.0155020952,-0.024738282,-1,49,1.27278543,-0.0620083809,0.024738282,1,28,-2.79425597,0.0222421363,0.0474150404,1,29
1790284301.190565,1032610,29.9955,0.2735,109,108,88,104,-0.0628029779,-0.0387552381,0.024738282,1,30,1.24366379,0.0310041904,-0.0494765639,-2,28,-2.77285099,-0.00404402474,0,0,31,0.0547188818,-0.019377619,0.024738282,1,30,1.25274706,-0.0968880951,0.0494765639,2,27,-2.79773116,-0.00808804948,0,0,30,-0.374257326,-0.0155020952,0,0,47,1.25582993,-0.019377619,0,0,27,-2.76991296,0.00808804948,0,0,30,0.370639771,-0.019377619,0,0,49,1.27278543,-0.0503818095,0,0,28,-2.79425597,0.0222421363,0.0474150404,1,29
1790284301.192475,1032614,29.9955,0.2393,109,108,88,104,-0.0627726987,0.0155020952,0.024738282,1,30,1.24366379,0.0271286666,-0.0494765639,-2,28,-2.77286673,-0.0262861624,0,0,31,0.0547188818,-0.0271286666,0.024738282,1,30,1.25277734,-0.0581328608,0.0494765639,2,27,-2.79771543,-0.0222421363,0,0,30,-0.374227047,0.0387552381,0,0,47,1.25586021,0.0387552381,-0.024738282,-1,27,-2.76991296,0.00202201237,0,0,30,0.37067005,0.0116265714,0,0,49,1.27278543,-0.0310041904,0,0,28,-2.79427171,0.016176099,0.0474150404,1,29
1790284301.194664,1032615,29.9955,0.2735,109,108,88,104,-0.0627726987,0.0155020952,0.024738282,1,30,1.24366379,0.0503818095,-0.024738282,-1,28,-2.77286673,-0.0262861624,0,0,31,0.0547188818,-0.0271286666,0.024738282,1,30,1.25277734,-0.0581328608,0.0494765639,2,27,-2.79771543,0.0283081736,0,0,30,-0.374227047,0.0387552381,0,0,47,1.25582993,-0.0155020952,0,0,27,-2.76992869,-0.0262861624,0,0,30,0.37067005,0.0116265714,0,0,49,1.27278543,-0.0426307619,0,0,28,-2.79428744,-0.0101100625,0,0,29
1790284301.196598,1032617,29.9866,0.2393,109,108,88,104,-0.0628029779,-0.0271286666,0.024738282,1,30,1.24366379,0.0387552381,-0.024738282,-1,28,-2.77285099,0.00808804948,-0.0474150404,-1,31,0.0547188818,-0.0387552381,0.0494765639,2,30,1.25277734,-0.0542573333,0,0,27,-2.79773116,0,0,0,30,-0.374257326,0.0310041904,-0.024738282,-1,47,1.25586021,0.0387552381,0,0,27,-2.76992869,-0.0303301867,0,0,30,0.370639771,-0.0271286666,0,0,49,1.27278543,-0.0465062857,0,0,28,-2.79428744,-0.00808804948,0,0,29
1790284301.198370,1032620,29.9866,0.2735,109,108,88,104,-0.0627726987,-0.00387552381,0.0494765639,2,30,1.24366379,0.0387552381,-0.0494765639,-2,28,-2.77285099,-0.00202201237,0,0,31,0.0547188818,-0.0271286666,0.0742148459,3,30,1.25280762,0,0.024738282,1,27,-2.79773116,-0.0121320747,-0.0474150404,-1,30,-0.374257326,-0.00775104761,0,0,47,1.25582993,-0.019377619,-0.024738282,-1,27,-2.76992869,-0.0202201251,0,0,30,0.37067005,0.0271286666,0,0,49,1.2728157,0.0155020952,0,0,28,-2.79427171,0.0202201251,0,0,29
1790284301.200377,1032621,29.9955,0.2735,109,108,88,104,-0.0628029779,-0.0116265714,0.024738282,1,30,1.24366379,0.0503818095,-0.0494765639,-2,28,-2.77285099,0,0,0,31,0.0547188818,-0.0310041904,0.0494765639,2,30,1.25280762,-0.0310041904,0.0494765639,2,27,-2.79771543,0.018198112,0,0,30,-0.374257326,0.00387552381,0,0,47,1.25586021,0.0426307619,0,0,27,-2.76992869,-0.0202201251,-0.0948300809,-2,30,0.37067005,0.0387552381,-0.024738282,-1,49,1.27278543,-0.0581328608,0,0,28,-2.79427171,0.0101100625,0.0474150404,1,29
1790284301.202398,1032623,29.9866,0.2393,109,108,88,104,-0.0628029779,-0.0503818095,0,0,30,1.24366379,0.0310041904,-0.0742148459,-3,28,-2.77286673,-0.0262861624,0,0,31,0.0547188818,-0.0155020952,0.0494765639,2,30,1.25280762,0,0,0,27,-2.79773116,-0.00606603734,0,0,30,-0.374227047,0.0542573333,0.024738282,1,47,1.25582993,-0.0116265714,0,0,27,-2.76992869,-0.0262861624,0,0,30,0.370639771,-0.0503818095,0,0,49,1.2728157,-0.0271286666,0,0,28,-2.79425597,0.0465062857,0.0474150404,1,29
1790284301.204411,1032626,29.9866,0.2393,109,108,88,104,-0.0627726987,0.0232531428,0.0494765639,2,30,1.24363351,-0.0116265714,-0.0494765639,-2,28,-2.77285099,0.00606603734,0,0,31,0.0547188818,-0.0387552381,0.024738282,1,30,1.25277734,-0.0348797143,0.0494765639,2,27,-2.79773116,-0.00202201237,0,0,30,-0.374287605,-0.0581328608,0,0,47,1.25586021,0.0348797143,0,0,27,-2.76991296,0.00808804948,-0.0948300809,-2,30,0.37067005,0.0155020952,0,0,49,1.2728157,-0.0271286666,0,0,28,-2.79427171,0.0202201251,0.0474150404,1,29
1790284301.206353,1032627,29.9955,0.2735,109,108,88,104,-0.0627726987,0.0232531428,0.0494765639,2,30,1.24366379,0.0387552381,-0.0742148459,-3,28,-2.77286673,-0.0283081736,0.0474150404,1,31,0.0547188818,-0.0271286666,0.0742148459,3,30,1.25277734,0.00775104761,0,0,27,-2.79773116,0.0202201251,-0.0474150404,-1,30,-0.374257326,-0.019377619,0.024738282,1,47,1.25586021,0.0348797143,0,0,27,-2.76992869,-0.0242641494,0,0,30,0.37067005,0.0387552381,0,0,49,1.2728157,-0.0387552381,0,0,28,-2.79428744,-0.00404402474,0.0474150404,1,29
1790284301.209025,1032630,29.9955,0.2735,109,108,88,104,-0.0628029779,-0.0503818095,0.024738282,1,30,1.24366379,0.0387552381,-0.0494765639,-2,28,-2.77286673,-0.018198112,0,0,31,0.0547188818,-0.019377619,0.024738282,1,30,1.25280762,-0.00387552381,0,0,27,-2.79773116,-0.00606603734,0,0,30,-0.374227047,0.0116265714,0,0,47,1.25586021,0.0232531428,0,0,27,-2.76992869,-0.0303301867,0,0,30,0.37067005,0.0116265714,0,0,49,1.2728157,-0.0426307619,0.024738282,1,28,-2.79428744,-0.0202201251,0,0,29
1790284301.210623,1032632,29.9866,0.2393,109,108,88,104,-0.0627726987,0.0155020952,0.0742148459,3,30,1.24363351,-0.0155020952,-0.0742148459,-3,28,-2.77286673,-0.018198112,0,0,31,0.0547188818,-0.0542573333,0.0494765639,2,30,1.25280762,-0.00775104761,0.0494765639,2,27,-2.79773116,0,0.0474150404,1,30,-0.374257326,-0.0116265714,-0.024738282,-1,47,1.25586021,0.0387552381,-0.024738282,-1,27,-2.76991296,0.00202201237,-0.0948300809,-2,30,0.37070033,0.100763619,0,0,49,1.27284598,0.019377619,0,0,28,-2.79425597,0.0485282987,0.0474150404,1,29
1790284301.212703,1032634,29.9866,0.2393,109,108,88,104,-0.0627726987,0.0155020952,0.0742148459,3,30,1.24366379,0.0271286666,-0.024738282,-1,28,-2.77286673,0.0101100625,0,0,31,0.0546886027,-0.0930125713,0.024738282,1,30,1.25277734,-0.0620083809,0.024738282,1,27,-2.79771543,0.0222421363,-0.0474150404,-1,30,-0.374196768,0.0930125713,0.024738282,1,47,1.25586021,0.0465062857,0,0,27,-2.76992869,-0.0262861624,0,0,30,0.37070033,0.0697594285,0,0,49,1.2728157,-0.0310041904,0.024738282,1,28,-2.79428744,-0.0141540868,0.0474150404,1,29
1790284301.214877,1032635,29.9955,0.2393,109,108,88,104,-0.0628029779,-0.0465062857,0.0494765639,2,30,1.24366379,0.0387552381,-0.0494765639,-2,28,-2.77285099,0,0.0474150404,1,31,0.0547188818,-0.0310041904,-0.024738282,-1,30,1.25277734,-0.0581328608,0,0,27,-2.79773116,0,0.0474150404,1,30,-0.374227047,0.0116265714,0,0,47,1.25586021,0.0387552381,-0.024738282,-1,27,-2.76991296,0.00404402474,0,0,30,0.37067005,0.0271286666,0,0,49,1.2728157,-0.0155020952,0.024738282,1,28,-2.79428744,-0.00808804948,0,0,29
1790284301.216666,1032638,29.9955,0.2393,109,108,88,104,-0.0627726987,0.019377619,0.024738282,1,30,1.24366379,0.0387552381,-0.0742148459,-3,28,-2.77285099,0,-0.0474150404,-1,31,0.0547188818,-0.0155020952,0.0494765639,2,30,1.25280762,-0.019377619,0.0494765639,2,27,-2.79771543,0.0202201251,0,0,30,-0.374227047,0,0,0,47,1.25586021,0.0387552381,0,0,27,-2.76992869,-0.0202201251,0,0,30,0.37067005,0.0387552381,-0.024738282,-1,49,1.27278543,-0.0852615237,0,0,28,-2.79425597,0.0566163473,0,0,29
1790284301.218654,1032639,29.9955,0.2735,109,108,88,104,-0.0628029779,-0.0465062857,0.024738282,1,30,1.24366379,-0.0232531428,-0.0742148459,-3,28,-2.77285099,0,-0.0474150404,-1,31,0.0547188818,-0.0155020952,0.0494765639,2,30,1.25280762,-0.0348797143,0.0494765639,2,27,-2.79771543,0.0262861624,0,0,30,-0.374227047,0,0,0,47,1.25582993,0,0,0,27,-2.76992869,-0.0262861624,0,0,30,0.370639771,-0.0232531428,0,0,49,1.2728157,-0.0232531428,0.024738282,1,28,-2.79427171,0.0202201251,0.0474150404,1,29
1790284301.220554,1032641,29.9955,0.2735,109,108,88,104,-0.0628029779,-0.0348797143,0.0742148459,3,30,1.24366379,0.0271286666,-0.0742148459,-3,28,-2.77286673,-0.0283081736,-0.0474150404,-1,31,0.0547188818,-0.0387552381,0.0494765639,2,30,1.25280762,-0.0271286666,0,0,27,-2.79771543,0.0363962241,0,0,30,-0.374196768,0.0736349523,-0.024738282,-1,47,1.25582993,-0.00775104761,-0.024738282,-1,27,-2.76992869,-0.0303301867,0,0,30,0.37067005,0.0310041904,0,0,49,1.27284598,0.0310041904,0.024738282,1,28,-2.79428744,-0.018198112,0,0,29
1790284301.222780,1032644,29.9955,0.2393,109,108,88,104,-0.0628029779,-0.0542573333,0.0494765639,2,30,1.24366379,0.0387552381,-0.024738282,-1,28,-2.77286673,-0.0202201251,-0.0474150404,-1,31,0.0547188818,-0.0310041904,0.0494765639,2,30,1.2528379,0.0503818095,0.0494765639,2,27,-2.79773116,-0.00606603734,0,0,30,-0.374257326,-0.0426307619,0,0,47,1.25586021,0.0542573333,0,0,27,-2.76992869,-0.0303301867,0,0,30,0.37067005,0.0232531428,0,0,49,1.27284598,0.0155020952,0,0,28,-2.79425597,0.0424622633,0.0948300809,2,29
1790284301.224660,1032646,29.9955,0.2393,109,108,88,104,-0.0628029779,-0.0465062857,0.0742148459,3,30,1.24366379,0.00775104761,-0.0742148459,-3,28,-2.77286673,-0.0242641494,0.0474150404,1,31,0.0546886027,-0.0930125713,0.024738282,1,30,1.25280762,-0.0348797143,0.024738282,1,27,-2.79771543,0.0283081736,0,0,30,-0.374227047,0.0232531428,-0.024738282,-1,47,1.25589049,0.0813859999,0,0,27,-2.76992869,-0.0222421363,0,0,30,0.37067005,0.0155020952,0,0,49,1.2728157,-0.0271286666,0,0,28,-2.79427171,0.016176099,0.0474150404,1,29
1790284301.226620,1032647,29.9955,0.2393,109,108,88,104,-0.0627726987,0.0232531428,0.12369141,5,30,1.24363351,-0.00775104761,0,0,28,-2.77286673,-0.0242641494,0,0,31,0.0547188818,-0.0387552381,0.0494765639,2,30,1.25280762,-0.0387552381,0,0,27,-2.79771543,0.0202201251,0,0,30,-0.374196768,0.0930125713,-0.024738282,-1,47,1.25586021,0.0348797143,0,0,27,-2.76992869,-0.0222421363,0,0,30,0.370639771,-0.0503818095,-0.024738282,-1,49,1.27275515,-0.0387552381,0,0,28,-2.79428744,-0.00808804948,0.0474150404,1,29
1790284301.228708,1032650,29.9866,0.2393,109,108,88,104,-0.062833257,-0.0930125713,0.0742148459,3,30,1.24366379,0.0348797143,0,0,28,-2.77286673,-0.0303301867,0,0,31,0.0547188818,-0.0348797143,-0.024738282,-1,30,1.25280762,0.0348797143,0.0494765639,2,27,-2.79771543,0.0303301867,0,0,30,-0.374227047,0.0387552381,0,0,47,1.25582993,-0.019377619,0,0,27,-2.76992869,0.00808804948,0,0,30,0.37067005,0.00775104761,0,0,49,1.2728157,-0.0232531428,0,0,28,-2.79427171,0.0202201251,0,0,29
